zip,population_acs_2022,pop_10000_2022
62032,754,0.0754
62033,"4,628",0.4628
62034,"14,497",1.4497
62035,"16,172",1.6172
62036,548,0.0548
62037,"1,542",0.1542
62040,"40,716",4.0716
62044,"2,256",0.2256
62045,520,0.052
62046,919,0.0919
62047,"1,760",0.176
62048,"1,626",0.1626
62049,"8,195",0.8195
62050,278,0.0278
62051,793,0.0793
62052,"12,625",1.2625
62053,332,0.0332
62054,367,0.0367
62056,"8,758",0.8758
62058,770,0.077
62059,629,0.0629
62060,"3,534",0.3534
62061,"1,672",0.1672
62062,"8,461",0.8461
62063,977,0.0977
62067,"2,106",0.2106
62069,"3,230",0.323
62074,"1,213",0.1213
62075,"3,168",0.3168
62076,73,0.0073
62077,317,0.0317
62078,102,0.0102
62079,469,0.0469
62080,"2,688",0.2688
62081,359,0.0359
62082,"2,547",0.2547
62083,157,0.0157
62084,"1,601",0.1601
62085,167,0.0167
62086,"1,213",0.1213
62087,"2,121",0.2121
62088,"6,439",0.6439
62089,528,0.0528
62090,"1,053",0.1053
62091,325,0.0325
62092,"2,422",0.2422
62093,500,0.05
62094,"1,048",0.1048
62095,"10,801",1.0801
62097,"2,723",0.2723
62098,32,0.0032
62201,"5,166",0.5166
62203,"6,076",0.6076
62204,"5,908",0.5908
62205,"5,754",0.5754
62206,"13,477",1.3477
62207,"6,637",0.6637
62208,"16,690",1.669
62214,"1,050",0.105
62215,"2,074",0.2074
62216,"2,980",0.298
62217,718,0.0718
62218,"2,009",0.2009
62219,"1,046",0.1046
62220,"19,277",1.9277
62221,"29,454",2.9454
62223,"16,534",1.6534
62225,"5,359",0.5359
62226,"29,333",2.9333
62230,"6,352",0.6352
62231,"6,680",0.668
62232,"6,920",0.692
62233,"8,217",0.8217
62234,"32,491",3.2491
62236,"14,630",1.463
62237,"2,411",0.2411
62238,522,0.0522
62239,"4,076",0.4076
62240,"2,197",0.2197
62241,900,0.09
62242,"1,534",0.1534
62243,"6,271",0.6271
62244,933,0.0933
62245,"1,698",0.1698
